MTL	Maltese Lira	2019-04-30 00:00:00.000
MUR	Mauritius Rupee	2019-04-30 00:00:00.000
MVR	Rufiyaa	2019-04-30 00:00:00.000
MXN	Mexican Peso	2019-04-30 00:00:00.000
MYR	Malaysian Ringgit	2019-04-30 00:00:00.000
NAD	Namibia Dollar	2019-04-30 00:00:00.000
NGN	Naira	2019-04-30 00:00:00.000
NLG	Netherlands Guilder	2019-04-30 00:00:00.000
NOK	Norwegian Krone	2019-04-30 00:00:00.000
NPR	Nepalese Rupee	2019-04-30 00:00:00.000
NZD	New Zealand Dollar	2019-04-30 00:00:00.000
OMR	Omani Rial	2019-04-30 00:00:00.000
PAB	Balboa	2019-04-30 00:00:00.000
PEN	Nuevo Sol	2019-04-30 00:00:00.000
PHP	Philippine Peso	2019-04-30 00:00:00.000
PKR	Pakistan Rupee	2019-04-30 00:00:00.000
PLN	Zloty	2019-04-30 00:00:00.000
PLZ	Polish Zloty(old)	2019-04-30 00:00:00.000
PTE	Portuguese Escudo	2019-04-30 00:00:00.000
PYG	Guarani	2019-04-30 00:00:00.000
ROL	Leu	2019-04-30 00:00:00.000
RUB	Russian Ruble	2019-04-30 00:00:00.000
RUR	Russian Ruble(old)	2019-04-30 00:00:00.000
SAR	Saudi Riyal	2019-04-30 00:00:00.000
SEK	Swedish Krona	2019-04-30 00:00:00.000
SGD	Singapore Dollar	2019-04-30 00:00:00.000
SIT	Tolar	2019-04-30 00:00:00.000
SKK	Slovak Koruna	2019-04-30 00:00:00.000
SVC	El Salvador Colon	2019-04-30 00:00:00.000
THB	Baht	2019-04-30 00:00:00.000
TND	Tunisian Dinar	2019-04-30 00:00:00.000
TRL	Turkish Lira	2019-04-30 00:00:00.000
TTD	Trinidad and Tobago Dollar	2019-04-30 00:00:00.000
TWD	New Taiwan Dollar	2019-04-30 00:00:00.000
USD	US Dollar	2019-04-30 00:00:00.000
UYU	Uruguayan Peso	2019-04-30 00:00:00.000
VEB	Bolivar	2019-04-30 00:00:00.000
VND	Dong	2019-04-30 00:00:00.000
XOF	CFA Franc BCEAO	2019-04-30 00:00:00.000
ZAR	Rand	2019-04-30 00:00:00.000
ZWD	Zimbabwe Dollar	2019-04-30 00:00:00.000
