consecutive_number,county,type_of_intersection,light_condition,atmospheric_conditions_1,hour_of_crash,functional_system,RELATED_FACTORS,DELAY_TO_HOSPITAL,DELAY_TO_SCENE,age,person_type,seating_position,RESTRAINT,SURVIVED,ROLLOVER,AIRBAG,ALCOHOL,DRUGS,related_factors_person_level1,travel_speed,SPEEDING_RELATED,extent_of_damage,body_type,vehicle_removal,MANNER_OF_COLLISION,ROADWAY_SURFACE_CONDITION,FIRST_HARMFUL_EVENT,MOST_HARMFUL_EVENT
200168,133,T-Intersection,2,1,5,3,0,,0.0,50,1,11,1.00,1,1,0,0,1,0,998,1,Disabling Damage,66,Towed Due to Disabling Damage,0,1,1,1
550219,105,Not an Intersection,2,2,4,4,0,,0.0,57,1,11,0.50,1,0,1,0,0,0,999,0,Disabling Damage,2,Towed Due to Disabling Damage,0,2,42,42
210672,157,Four-Way Intersection,4,1,6,5,0,,0.0,43,1,11,1.00,1,1,1,0,0,0,998,0,Disabling Damage,6,Towed Due to Disabling Damage,0,1,32,42
240058,5,Not an Intersection,4,1,6,5,0,,0.0,22,1,11,1.00,1,1,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,32,1
340455,19,Not an Intersection,1,1,6,1,0,,0.0,26,1,11,0.50,1,0,1,0,1,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,14,14
300106,111,Not an Intersection,1,10,20,3,0,1.0,0.0,58,1,11,0.50,1,0,0,0,1,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,52,52
210245,67,Four-Way Intersection,1,1,10,1,0,,0.0,30,1,11,1.00,1,0,1,0,0,0,998,1,Disabling Damage,4,Towed Due to Disabling Damage,0,1,35,35
210585,235,Not an Intersection,2,1,18,6,0,,1.0,35,1,11,0.50,1,0,1,0,1,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,21,21
80020,41,Not an Intersection,1,1,13,3,0,,,42,1,11,0.50,1,1,1,0,0,0,50,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,17,17
380022,59,Not an Intersection,1,10,16,1,0,,0.0,34,1,11,1.00,1,0,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,14,14
380030,35,Not an Intersection,1,1,17,2,0,,1.0,45,1,11,1.00,1,1,0,0,0,0,998,0,Disabling Damage,66,Towed Due to Disabling Damage,0,1,1,1
210266,237,Not an Intersection,1,2,10,2,0,,1.0,21,1,11,0.50,1,1,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,2,24,35
240363,21,Not an Intersection,1,10,9,4,0,,0.0,38,1,11,0.50,1,0,0,0,0,0,998,0,Disabling Damage,2,Towed Due to Disabling Damage,0,1,32,43
530265,65,Not an Intersection,1,1,7,4,0,,,32,1,11,0.50,1,1,0,0,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,0,1,1,1
210427,71,Not an Intersection,1,1,16,5,0,,0.0,58,1,11,0.50,1,0,0,0,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,0,1,42,42
380083,105,Not an Intersection,1,1,18,5,3,,,63,1,11,0.50,1,1,0,0,1,0,5,0,Disabling Damage,93,Towed Due to Disabling Damage,0,7,1,1
390194,127,Not an Intersection,1,1,11,5,0,,0.0,53,1,11,0.50,1,0,0,0,0,0,998,0,Disabling Damage,30,Towed Due to Disabling Damage,0,1,42,42
210024,205,Not an Intersection,1,1,17,1,0,,,27,1,11,1.00,1,1,0,0,0,0,998,0,Disabling Damage,30,Towed Due to Disabling Damage,0,1,24,1
210090,69,Not an Intersection,1,10,16,5,0,,0.0,57,1,11,0.50,1,0,0,0,1,0,998,0,Disabling Damage,31,Towed Due to Disabling Damage,0,1,38,42
40639,27,Not an Intersection,1,1,15,1,0,4.0,0.0,41,1,11,1.00,1,1,0,0,0,0,998,0,Disabling Damage,31,Towed Due to Disabling Damage,0,1,1,1
170089,179,Not an Intersection,1,1,11,5,0,,,29,1,11,0.50,1,1,0,0,1,0,998,0,Disabling Damage,31,Towed Due to Disabling Damage,0,1,34,1
170558,55,Not an Intersection,2,1,23,5,0,,0.0,16,1,11,0.50,1,1,0,0,1,0,998,1,Disabling Damage,31,Towed Due to Disabling Damage,0,1,1,30
480683,493,Not an Intersection,1,10,14,3,0,,,37,1,11,1.00,1,0,1,0,1,0,998,0,Disabling Damage,31,Towed Due to Disabling Damage,0,1,38,38
80331,21,Not an Intersection,1,1,13,4,0,,,42,1,11,0.50,1,1,0,0,1,0,60,0,Disabling Damage,63,Towed Due to Disabling Damage,0,1,38,42
210214,195,Not an Intersection,4,1,6,5,0,,2.0,24,1,11,0.50,1,1,0,0,0,0,998,0,Disabling Damage,2,Towed Due to Disabling Damage,0,1,24,0
80240,89,Not an Intersection,1,1,12,7,0,,,46,1,11,0.50,1,1,0,0,0,0,30,0,Disabling Damage,15,Towed Due to Disabling Damage,0,1,34,1
180161,73,Not an Intersection,4,5,7,4,0,,,26,1,11,0.50,1,0,1,0,0,0,998,1,Disabling Damage,2,Towed Due to Disabling Damage,0,1,42,42
210610,85,Not an Intersection,2,1,21,5,0,,,70,1,11,0.50,1,0,0,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,35,2
210471,183,Not an Intersection,1,10,17,5,0,,0.0,44,1,11,0.50,1,0,0,0,1,0,65,0,Disabling Damage,30,Towed Due to Disabling Damage,0,1,35,35
210515,169,Not an Intersection,1,1,9,5,0,,0.0,23,1,11,1.00,1,1,0,0,0,0,998,0,Disabling Damage,30,Towed Due to Disabling Damage,0,1,34,1
480109,497,Not an Intersection,2,1,20,5,20,,,35,1,11,0.50,1,1,1,0,1,0,140,1,Disabling Damage,2,Towed Due to Disabling Damage,0,1,38,38
210445,203,Not an Intersection,2,1,21,1,0,,0.0,33,1,11,1.00,1,1,0,0,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,0,1,57,1
410104,3,Not an Intersection,1,10,15,4,0,,0.0,70,1,11,0.50,1,1,1,0,0,0,998,0,Disabling Damage,15,Towed Due to Disabling Damage,0,1,42,1
170861,49,Four-Way Intersection,5,2,17,4,0,,,25,1,11,1.00,1,0,0,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,6,2,12,12
470755,179,Four-Way Intersection,1,1,14,3,0,,,86,1,11,1.00,1,0,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,6,1,12,12
50468,15,Not an Intersection,1,1,11,3,0,,1.0,20,1,11,1.00,1,0,1,0,0,0,998,1,Disabling Damage,6,Towed Due to Disabling Damage,6,2,12,12
390315,89,T-Intersection,1,1,16,4,0,0.0,0.0,64,1,11,1.00,1,0,1,0,0,0,998,0,Disabling Damage,2,Towed Due to Disabling Damage,6,1,12,12
481262,503,Not an Intersection,4,1,6,3,0,1.0,0.0,19,1,11,1.00,1,1,1,0,1,0,998,0,Disabling Damage,30,Towed Due to Disabling Damage,6,1,12,12
210081,117,Not an Intersection,1,4,11,1,0,0.0,0.0,51,1,11,0.50,1,0,1,0,0,0,63,1,Disabling Damage,31,Towed Due to Disabling Damage,1,3,12,12
550459,105,Not an Intersection,2,2,21,1,0,1.0,,54,1,11,1.00,1,0,1,0,0,0,97,1,Disabling Damage,14,Towed Due to Disabling Damage,1,2,12,12
361020,65,T-Intersection,1,10,8,7,0,0.0,0.0,31,1,11,1.00,1,0,1,0,0,0,60,1,Disabling Damage,4,Towed Due to Disabling Damage,2,1,12,12
260204,155,T-Intersection,3,1,18,5,0,,,64,1,11,1.00,1,0,1,0,0,0,998,1,Disabling Damage,4,Towed Due to Disabling Damage,2,1,12,12
210662,71,Not an Intersection,5,1,17,3,0,,,52,1,11,1.00,1,0,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,2,1,12,12
170034,95,Not an Intersection,2,4,5,4,0,,,61,1,11,0.50,1,0,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,2,3,12,12
210472,175,Not an Intersection,1,2,7,4,0,1.0,1.0,36,1,11,1.00,1,1,0,0,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,2,2,12,12
240461,23,Not an Intersection,1,2,11,5,0,1.0,0.0,56,1,11,1.00,1,0,1,0,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,2,2,12,12
390311,117,Not an Intersection,1,1,12,5,0,1.0,1.0,23,1,11,1.00,1,0,0,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,2,1,12,12
390232,77,Not an Intersection,1,1,12,4,0,2.0,1.0,56,1,11,1.00,1,1,1,0,0,0,55,0,Disabling Damage,14,Towed Due to Disabling Damage,2,1,12,1
210476,179,Not an Intersection,2,1,21,5,0,0.0,0.0,30,1,11,1.00,1,0,1,0,0,0,998,0,Disabling Damage,31,Towed Due to Disabling Damage,2,1,12,12
391039,137,Not an Intersection,1,10,11,7,0,,,88,1,11,0.50,1,1,1,0,0,0,75,1,Disabling Damage,4,Towed Due to Disabling Damage,0,1,35,35
290025,213,Not an Intersection,2,10,20,4,0,2.0,1.0,58,1,11,0.50,1,0,1,1,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,0,10,34,34
80322,101,Not an Intersection,1,1,15,1,23,,,18,1,11,0.50,1,0,0,0,0,0,100,1,Disabling Damage,4,Towed Due to Disabling Damage,0,1,24,12
170091,63,Not an Intersection,2,1,5,7,0,,,48,1,11,0.50,1,1,0,0,0,0,998,0,Not Reported,14,Towed Due to Disabling Damage,0,1,34,3
170824,197,Not an Intersection,5,1,16,7,0,,,22,1,11,0.50,1,0,1,1,0,0,998,1,Disabling Damage,4,Towed Due to Disabling Damage,0,1,30,42
210173,125,Not an Intersection,2,10,0,6,0,1.0,0.0,48,1,11,1.00,1,0,0,0,0,0,998,0,Functional Damage,4,Towed Not Due to Disabling Damage,0,2,42,42
210615,197,Not an Intersection,2,1,20,5,0,,,28,1,11,0.50,1,0,1,0,0,0,998,0,Disabling Damage,2,Towed Due to Disabling Damage,0,1,35,42
390601,159,T-Intersection,1,1,19,5,0,1.0,1.0,21,1,11,1.00,1,0,0,0,0,0,998,1,Disabling Damage,4,Towed Due to Disabling Damage,0,2,34,42
210182,13,Not an Intersection,1,1,19,5,0,,,57,1,11,0.50,1,1,0,0,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,0,1,1,1
210387,217,Not an Intersection,1,1,12,5,0,,,47,1,11,0.50,1,0,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,42,42
290521,159,Not an Intersection,2,1,20,2,0,1.0,0.0,63,1,11,1.00,1,0,1,0,1,0,45,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,59,12
340449,33,Not an Intersection,1,1,13,5,0,1.0,1.0,26,1,11,1.00,1,0,1,0,1,0,998,1,Disabling Damage,4,Towed Due to Disabling Damage,0,1,30,30
210596,111,Not an Intersection,1,2,14,3,0,1.0,0.0,24,1,11,0.50,1,1,1,0,0,0,58,1,Disabling Damage,1,Towed Due to Disabling Damage,6,2,12,12
240413,25,Not an Intersection,1,1,15,1,19,,0.0,35,1,11,0.50,1,0,1,0,0,0,998,0,Disabling Damage,4,Towed Due to Disabling Damage,6,1,12,12
170513,183,Not an Intersection,1,1,7,5,0,,,60,1,11,0.50,1,0,1,0,0,0,998,0,Disabling Damage,3,Towed Due to Disabling Damage,6,1,12,12
170431,105,Four-Way Intersection,1,1,18,5,0,,,30,1,11,0.50,1,0,1,0,0,0,998,0,Disabling Damage,14,Towed Due to Disabling Damage,6,1,12,12
210598,135,Not an Intersection,1,1,12,3,0,1.0,0.0,32,1,11,0.50,1,1,0,1,0,0,998,0,Disabling Damage,16,Towed Due to Disabling Damage,1,1,12,12
210391,13,Not an Intersection,1,10,11,5,0,0.0,0.0,42,1,11,0.50,1,0,0,0,0,0,998,0,Disabling Damage,90,Towed Due to Disabling Damage,1,1,12,12
390205,17,Not an Intersection,2,10,20,4,0,,1.0,74,1,11,0.50,1,0,1,1,0,0,5,0,Disabling Damage,30,Towed Due to Disabling Damage,2,2,12,12
310039,151,Not an Intersection,2,1,99,4,0,,,21,1,11,0.50,1,0,0,0,0,0,998,0,Disabling Damage,31,Towed Due to Disabling Damage,8,1,12,12
380114,53,Not an Intersection,2,1,99,7,0,,-91.0,41,1,11,0.50,1,1,0,1,1,0,999,1,Disabling Damage,31,Towed Due to Disabling Damage,0,4,31,1
380038,53,Not an Intersection,5,99,20,4,20,,,38,1,11,0.50,1,1,0,1,0,0,999,1,Disabling Damage,4,Towed Due to Disabling Damage,0,1,1,1
210160,155,Not an Intersection,1,1,19,5,0,,0.0,25,1,11,0.50,1,1,1,1,0,0,998,1,Disabling Damage,4,Towed Due to Disabling Damage,0,1,32,1
200237,87,T-Intersection,2,1,5,2,0,,0.0,25,1,11,0.50,1,1,0,1,1,0,60,0,Disabling Damage,4,Towed Due to Disabling Damage,0,1,1,1
