consecutive_number,county,type_of_intersection,light_condition,atmospheric_conditions_1,hour_of_crash,functional_system,related_factors,delay_to_hospital,delay_to_scene,age,person_type,seating_position,restraint,survived,rollover,airbag,alcohol,drugs,related_factors_person_level1,travel_speed,speeding_related,extent_of_damage,body_type,vehicle_removal,manner_of_collision,roadway_surface_condition,first_harmful_event,most_harmful_event
10012,95,Not an Intersection,Daylight,Clear,6,Principal Arterial – Other,0,,0.0,58,Passenger of a Motor Vehicle In-Transport,Second Seat – Right Side,0.50,0,0,0,0,0,0,50,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,12
10012,95,Not an Intersection,Daylight,Clear,6,Principal Arterial – Other,0,,0.0,32,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,50,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,12
10012,95,Not an Intersection,Daylight,Clear,6,Principal Arterial – Other,0,,0.0,27,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,50,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,6,1,12,12
10012,95,Not an Intersection,Daylight,Clear,6,Principal Arterial – Other,0,,0.0,54,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,0,0,0,0,50,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,12
10012,95,Not an Intersection,Daylight,Clear,6,Principal Arterial – Other,0,,0.0,23,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,1,0,0,0,50,0,Disabling Damage,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),Towed Due to Disabling Damage,6,1,12,12
10013,87,Not an Intersection,Daylight,Clear,10,Major Collector,0,,,55,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,1,0,0,0,80,1,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,1,1
10014,11,Not an Intersection,Daylight,Cloudy,6,Minor Arterial,0,,0.0,18,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,65,0,Disabling Damage,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),Towed Due to Disabling Damage,0,1,1,1
10015,127,Not an Intersection,Daylight,Clear,8,Principal Arterial – Other,0,,0.0,33,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,65,1,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,1,1,1
10016,81,Not an Intersection,Dark – Lighted,Cloudy,17,Minor Arterial,0,,0.0,60,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,5,0,Functional Damage,Standard Pickup,Not Towed,6,1,12,12
10016,81,Not an Intersection,Dark – Lighted,Cloudy,17,Minor Arterial,0,,0.0,79,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,0,0,0,0,40,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,6,1,12,12
10017,97,Not an Intersection,Daylight,Cloudy,14,Major Collector,0,,0.0,86,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,1,0,0,0,25,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,42,42
10018,1,Not an Intersection,Dark – Not Lighted,Clear,19,Major Collector,0,,0.0,46,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,0,0,0,1,1,0,999,0,Disabling Damage,Large Van – Includes Van-Based Buses,Towed Due to Disabling Damage,0,1,42,42
10018,1,Not an Intersection,Dark – Not Lighted,Clear,19,Major Collector,0,,0.0,34,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.50,1,0,0,0,0,0,999,0,Disabling Damage,Large Van – Includes Van-Based Buses,Towed Due to Disabling Damage,0,1,42,42
10019,121,Not an Intersection,Dark – Not Lighted,Clear,1,Minor Collector,0,,,21,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,55,1,Disabling Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Towed Due to Disabling Damage,0,1,1,1
10020,121,Four-Way Intersection,Dark – Not Lighted,Rain,17,Major Collector,0,,0.0,50,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,55,0,Disabling Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Towed Due to Disabling Damage,6,2,12,12
10020,121,Four-Way Intersection,Dark – Not Lighted,Rain,17,Major Collector,0,,0.0,80,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,20,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,6,2,12,12
10020,121,Four-Way Intersection,Dark – Not Lighted,Rain,17,Major Collector,0,,0.0,90,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,1,0,0,0,0,0,20,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,6,2,12,12
10021,115,Not an Intersection,Daylight,Rain,13,Interstate,27,,1.0,67,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,0,0,0,0,0,0,Disabling Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Towed Due to Disabling Damage,1,2,12,12
10021,115,Not an Intersection,Daylight,Rain,13,Interstate,27,,1.0,66,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,1,0,0,0,70,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,1,2,12,12
10021,115,Not an Intersection,Daylight,Rain,13,Interstate,27,,1.0,70,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,0,0,Disabling Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Towed Due to Disabling Damage,1,2,12,12
10021,115,Not an Intersection,Daylight,Rain,13,Interstate,27,,1.0,85,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,1,0,1,0,0,0,70,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,1,2,12,12
10022,127,Not an Intersection,Dark – Not Lighted,Clear,6,Principal Arterial – Other Freeways and Expressways,0,,0.0,66,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.50,0,1,0,0,0,0,70,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,1,52,1
10022,127,Not an Intersection,Dark – Not Lighted,Clear,6,Principal Arterial – Other Freeways and Expressways,0,,0.0,62,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,70,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,1,52,1
10023,11,Not an Intersection,Dark – Not Lighted,"Fog, Smog, Smoke",21,Minor Arterial,0,,0.0,27,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,1,1,0,0,75,1,Disabling Damage,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),Towed Due to Disabling Damage,0,2,42,42
10024,5,Not an Intersection,Dawn,Clear,6,Local,0,,0.0,35,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,45,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,42,42
10025,125,Not an Intersection,Dark – Not Lighted,Clear,3,Major Collector,0,,,26,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,0,1,0,0,95,1,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,18,18
10025,125,Not an Intersection,Dark – Not Lighted,Clear,3,Major Collector,0,,,28,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,1,0,0,0,0,0,95,1,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,18,18
10026,73,T-Intersection,Daylight,Cloudy,13,Minor Arterial,0,,0.0,56,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,1,0,0,0,999,1,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,33,1
10027,3,Four-Way Intersection,Daylight,Clear,14,Minor Arterial,0,,0.0,69,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,1,0,0,0,999,0,Disabling Damage,5-Door/4-Door Hatchback,Towed Due to Disabling Damage,6,1,12,12
10027,3,Four-Way Intersection,Daylight,Clear,14,Minor Arterial,0,,0.0,25,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,1,1,0,0,0,55,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,12
10027,3,Four-Way Intersection,Daylight,Clear,14,Minor Arterial,0,,0.0,998,Passenger of a Motor Vehicle In-Transport,Second Seat – Right Side,0.50,0,1,0,0,0,0,55,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,12
10028,1,Not an Intersection,Dark – Not Lighted,Clear,0,Minor Arterial,0,,0.0,36,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,1,0,1,0,0,999,0,Disabling Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Towed Due to Disabling Damage,0,1,1,1
10029,69,T-Intersection,Dark – Not Lighted,Rain,5,Principal Arterial – Other,0,,0.0,24,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,0,0,0,0,65,1,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,2,59,42
10030,21,Not an Intersection,Daylight,Clear,13,Minor Arterial,0,,0.0,37,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,60,0,Disabling Damage,Station Wagon (Excluding Van and Truck-Based),Towed Due to Disabling Damage,2,1,12,12
10030,21,Not an Intersection,Daylight,Clear,13,Minor Arterial,0,,0.0,23,Passenger of a Motor Vehicle In-Transport,Second Seat – Right Side,0.50,1,1,0,0,0,0,96,1,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,2,1,12,12
10030,21,Not an Intersection,Daylight,Clear,13,Minor Arterial,0,,0.0,36,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,0,0,0,96,1,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,2,1,12,12
10030,21,Not an Intersection,Daylight,Clear,13,Minor Arterial,0,,0.0,21,Passenger of a Motor Vehicle In-Transport,Second Seat – Left Side,0.50,1,1,0,0,0,0,96,1,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,2,1,12,12
10030,21,Not an Intersection,Daylight,Clear,13,Minor Arterial,0,,0.0,50,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.50,1,1,0,0,0,0,96,1,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,2,1,12,12
10031,93,T-Intersection,Dusk,Clear,16,Minor Collector,0,,0.0,51,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,40,0,Minor Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Not Towed,0,1,8,8
10032,15,Not an Intersection,Dawn,Clear,6,Local,0,,0.0,27,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,0,1,0,0,65,1,Disabling Damage,"Convertible (Excludes Sunroof, T-Bar)",Towed Due to Disabling Damage,0,1,34,1
10033,123,Not an Intersection,Dark – Lighted,Rain,21,Minor Collector,0,,0.0,44,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.50,1,0,1,0,0,0,45,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,2,42,42
10033,123,Not an Intersection,Dark – Lighted,Rain,21,Minor Collector,0,,0.0,35,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,45,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,2,42,42
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,11,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,0,0,0,0,0,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,40,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,0,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,69,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,0,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,68,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,0,0,0,0,0,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,79,Passenger of a Motor Vehicle In-Transport,Second Seat – Left Side,1.00,1,0,1,0,0,0,0,0,Disabling Damage,Minivan,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,63,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,0,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,50,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,1,0,0,0,0,0,Disabling Damage,Minivan,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,38,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,0,0,1,1,1,0,78,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,78,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,1,0,0,0,0,0,Disabling Damage,Minivan,Towed Due to Disabling Damage,1,2,12,12
10034,3,Four-Way Intersection,Daylight,Cloudy,14,Minor Arterial,0,,0.0,72,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,0,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,1,2,12,12
10035,73,Four-Way Intersection,Daylight,Clear,9,Principal Arterial – Other,0,,0.0,91,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,1,0,0,0,10,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,6,1,12,12
10035,73,Four-Way Intersection,Daylight,Clear,9,Principal Arterial – Other,0,,0.0,52,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,0,0,0,0,0,0,999,0,Unknown,Standard Pickup,Not Towed,6,1,12,12
10036,97,Not an Intersection,Daylight,Clear,14,Principal Arterial – Other,0,,0.0,38,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.50,1,0,0,0,0,0,999,0,Disabling Damage,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),Towed Due to Disabling Damage,6,1,12,12
10036,97,Not an Intersection,Daylight,Clear,14,Principal Arterial – Other,0,,0.0,24,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.50,0,1,1,0,0,0,999,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,1
10036,97,Not an Intersection,Daylight,Clear,14,Principal Arterial – Other,0,,0.0,40,Passenger of a Motor Vehicle In-Transport,Second Seat – Middle,0.50,0,0,0,0,0,0,999,0,Disabling Damage,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),Towed Due to Disabling Damage,6,1,12,12
10036,97,Not an Intersection,Daylight,Clear,14,Principal Arterial – Other,0,,0.0,23,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,1,1,0,0,0,999,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,6,1,12,1
10036,97,Not an Intersection,Daylight,Clear,14,Principal Arterial – Other,0,,0.0,37,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,0,0,0,0,0,0,999,0,Disabling Damage,Large Utility (ANSI D-16 Utility Vehicle Categories “Full Size” and “Large”),Towed Due to Disabling Damage,6,1,12,12
10037,3,Not an Intersection,Daylight,Clear,14,Local,0,,0.0,57,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,48,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,42,42
10038,97,Not an Intersection,Daylight,Clear,16,Local,0,,0.0,28,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,0,0,0,0,999,0,Disabling Damage,ATV (All-Terrain Vehicle; Includes 3 or 4 Wheels),Towed Due to Disabling Damage,0,1,38,42
10039,97,Not an Intersection,Dark – Not Lighted,Clear,0,Principal Arterial – Other,0,,0.0,63,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,999,0,Disabling Damage,Compact Utility (ANSI D-16 Utility Vehicle Categories “Small” and “Midsize”),Towed Due to Disabling Damage,0,1,34,32
10040,73,Not an Intersection,Daylight,Clear,15,Principal Arterial – Other,0,,1.0,24,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,999,0,Functional Damage,4-Door Sedan/Hardtop,Towed Not Due to Disabling Damage,0,1,8,8
10041,49,Not an Intersection,Dark – Not Lighted,Clear,21,Local,0,,0.0,38,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,0,1,0,0,70,0,Disabling Damage,Motorcycle,Towed Due to Disabling Damage,0,1,18,18
10042,125,T-Intersection,Dark – Not Lighted,Clear,18,Principal Arterial – Other,0,,1.0,41,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,0,0,0,0,60,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,8,8
10042,125,T-Intersection,Dark – Not Lighted,Clear,18,Principal Arterial – Other,0,,1.0,40,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,0,0,0,0,0,0,60,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,8,8
10043,49,Not an Intersection,Dark – Not Lighted,Cloudy,3,Major Collector,0,,,65,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,0,0,0,0,45,0,Disabling Damage,"Compact Pickup (Gross Vehicle Weight, GVWR, < 4,500 lbs)",Towed Due to Disabling Damage,0,2,19,19
10044,73,Not an Intersection,Dark – Lighted,Clear,3,Interstate,0,,0.0,30,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,999,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,52,52
10044,73,Not an Intersection,Dark – Lighted,Clear,3,Interstate,0,,0.0,998,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,0.33,0,0,0,0,0,0,999,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,52,52
10045,97,Not an Intersection,Daylight,Clear,8,Interstate,0,0.0,0.0,53,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),1.00,1,0,0,0,0,0,999,0,Disabling Damage,Standard Pickup,Towed Due to Disabling Damage,0,1,59,59
10046,17,Not an Intersection,Dark – Unknown Lighting,Clear,2,Interstate,0,,0.0,19,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,999,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,42,42
10047,97,Not an Intersection,Dark – Not Lighted,Clear,0,Major Collector,0,,0.0,21,Passenger of a Motor Vehicle In-Transport,Front Seat – Right Side,1.00,0,0,1,0,0,0,999,1,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,19,19
10047,97,Not an Intersection,Dark – Not Lighted,Clear,0,Major Collector,0,,0.0,47,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,1,0,1,0,0,0,999,1,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,19,19
10048,3,Not an Intersection,Dark – Not Lighted,Clear,22,Minor Arterial,0,,0.0,24,Driver of a Motor Vehicle In-Transport,Front Seat – Left Side (Driver's Side),0.50,0,0,1,0,0,0,999,0,Disabling Damage,4-Door Sedan/Hardtop,Towed Due to Disabling Damage,0,1,59,30
